,Url,Location,Company,Title,Career,Payment,Education,Text,Tag
41,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48191285,서울 강남구,(주)딥핑소스,Deep Learning Researcher 채용,경력 2~12년,면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,머신러닝,딥러닝,서울,강남구"
42,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48189787,서울 강남구,데이터플로,BI 전문가 채용 신입/경력 채용,경력 2년 ↑,면접 후 결정,학력무관,,"IT개발·데이터,데이터분석가,데이터엔지니어,데이터시각화,데이터마이닝,모델링,머신러닝,서울,강남구"
43,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48189769,서울 강남구,데이터플로,인공지능 AI 모형 개발 최적화 & 데이터 분석,무관(신입포함),면접 후 결정,학력무관,,"IT개발·데이터,클라우드,AWS,PaaS,Azure,Docker,Kubernetes,서울,강남구"
44,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48187922,서울 강남구,(주)에너자이,(전문연구요원 가능) ML Engineer / Researcher 채용 공고,무관(신입포함),면접 후 결정,고교졸업 이상(예정자 가능),,"IT개발·데이터,딥러닝,머신러닝,Python,알고리즘,컴퓨터비전,Pytorch,Tensorflow,Keras,연구·R&D,알고리즘개발,서울,강남구"
45,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48187903,서울 강남구,(주)에너자이,(전문연구요원 가능) AI 컴파일러 엔지니어 채용 공고,무관(신입포함),면접 후 결정,고교졸업 이상(예정자 가능),,"연구·R&D,알고리즘개발,IT개발·데이터,Pytorch,Tensorflow,AI컴파일러,Optimizing,C언어,Scala,딥러닝,AI(인공지능),경량화,서울,강남구"
46,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48089445,서울 서초구,주식회사 스포츠시그널,[신입/경력] 스포츠 통계분석에 열정 가득한 인재를 모십니다.,무관(신입포함),면접 후 결정,대졸(4년제) 이상(예정자 가능),,"기획·전략,데이터분석,IT개발·데이터,데이터마이닝,데이터분석가,데이터라벨링,빅데이터,서울,서초구"
47,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48178312,서울 서초구,(주)럭스로보,VISION SW 개발 경력자 채용,무관(신입포함),면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,백엔드/서버개발,데이터분석가,데이터엔지니어,SE(시스템엔지니어),딥러닝,데이터마이닝,머신러닝,데이터시각화,네트워크,NLP(자연어처리),연구·R&D,기술연구,서울,서초구"
48,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48177621,서울 서초구,(주)모빅랩,Senior AI Researcher 모집,경력 2~20년,면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,Python,Linux,C++,C,,Javascript,알고리즘,SQL,R,딥러닝,머신러닝,서울,서초구"
49,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48166375,서울 금천구 외,(주)인터엑스,"[서울] [전문연구요원] 데이터분석 (이미지 및 영상 데이터 분석가, Data Scientist)",경력 2~5년,회사내규에 따름,학력무관,,"IT개발·데이터,데이터분석가,데이터엔지니어,데이터라벨링,데이터마이닝,데이터시각화,빅데이터,SQL,Python,Matlab,GCP,AWS,머신러닝,딥러닝,서울,경기,김포시"
50,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48171240,서울 강남구,(주)에이치비테크놀러지,Vision 영상처리(2D/3D) S/W 개발,경력(년수무관),면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,영상처리,딥러닝,알고리즘,Python,이미지프로세싱,연구·R&D,이미지프로세싱,서울,강남구"
51,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48147986,서울 강남구,(주)마크클라우드,특허/상표 데이터 등 분석(Python) 및 사업 기획 모집,신입·경력 5년 ↓,면접 후 결정,대졸(4년제) 이상(예정자 가능),,"IT개발·데이터,빅데이터,크롤링,데이터분석가,Pandas,머신러닝,기획·전략,데이터분석,사업기획,서울,강남구"
52,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48139900,서울 강남구,(주)러닝스푼즈,HR-Tech 스타트업 : 데이터사이언스 교육기획 프로덕트매니저 PM,신입·경력(년수무관),"연봉 3,120 만원 (주 40시간)                                근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기",학력무관,,"기획·전략,서비스기획,신사업기획,교육기획,PO(프로덕트오너),기획,데이터분석,인사기획,신사업발굴,앱기획,웹기획,교육,교육컨텐츠기획,교육컨텐츠개발,교육운영,평생교육사,기업교육,인사·노무·HRD,HRD,인사기획,IT개발·데이터,데이터분석가,데이터엔지니어,빅데이터,데이터시각화,데이터마이닝,텍스트마이닝,AI(인공지능),서울,강남구"
53,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48168267,서울 송파구,아이티컨버젼스(주),[신입/경력] 스마트팜 AI연구원 채용,신입·경력 5년 ↑,면접 후 결정,대졸(4년제) 이상(예정자 가능),,"IT개발·데이터,AI(인공지능),머신러닝,딥러닝,알고리즘,빅데이터,서울,송파구"
54,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48020107,서울 강남구,(주)에너자이,(전문연구요원 가능) Runtime 소프트웨어 엔지니어,무관(신입포함),면접 후 결정,학력무관(예정자 가능),,"IT개발·데이터,C++,Python,Swift,Kotlin,objdump,웹프로그래밍,Flask,Django,React,서울,강남구"
55,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48151301,서울 강남구,(주)헤링스,AI 백엔드 개발자 채용,경력 4~10년,면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,AI(인공지능),백엔드/서버개발,풀스택,서울,강남구"
56,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48150797,서울 강남구,(주)포시에스,(주)포시에스 전문연구요원(병역특례) SW개발자 채용,무관(신입포함),면접 후 결정,석사졸업 이상(예정자 가능),,"IT개발·데이터,Java,C++,MFC,Angular,CSS,jQuery,SpringBoot,MongoDB,Android,연구·R&D,연구원,전문연구요원,병역특례,서울,강남구"
57,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48148638,서울 강남구,(주)마인즈앤컴퍼니,[인공지능솔루션] Data Scientist,경력 3~15년,면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,딥러닝,머신러닝,모델링,챗봇,AI(인공지능),NLU(자연어이해),NLP(자연어처리),서울,강남구"
58,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47758495,서울 서초구 외,(주)럭스로보,Vision SW 개발자(신입 가능),신입·경력 8년 ↓,회사내규에 따름,대졸(4년제) 이상,,"IT개발·데이터,데이터분석가,데이터엔지니어,데이터라벨링,데이터마이닝,데이터시각화,빅데이터,SQL,Python,Matlab,GCP,AWS,머신러닝,딥러닝,서울,경기,김포시"
59,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48112124,서울 서초구,(주)이수시스템,R&D센터 경력직 개발자 채용,경력,면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,기술지원,데이터분석가,데이터엔지니어,백엔드/서버개발,앱개발,유지보수,프론트엔드,데이터시각화,머신러닝,빅데이터,솔루션,클라우드,AI(인공지능),API,DBMS,DevOps,Windows,풀스택,Android,Apache,ASP.NET,AWS,Azure,Docker,Hadoop,Java,Javascript,JPA,JSP,Kafka,Kotlin,MSSQL,MySQL,Node.js,NoSQL,OracleDB,Python,RestAPI,Spark,Spring,SpringBoot,SQL,Storm,디자인,Zeplin,서울,서초구"
60,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48131390,서울 강남구,(주)씨이랩,[(주)씨이랩] 유니티 엔진 프로그래머 모집,경력 3년 ↑,면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,클라우드,Azure,AWS,IaaS,DevOps,PaaS,Docker,SaaS,NoSQL,서울,강남구"
61,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48125436,서울 강남구 외,(주)원프레딕트,Data Scientist,경력 2~5년,회사내규에 따름,대졸(4년제) 이상,,"IT개발·데이터,DBMS,RDBMS,MySQL,데이터분석가,데이터엔지니어,데이터시각화,딥러닝,머신러닝,데이터마이닝,빅데이터,챗봇,Python,R,서울,성동구"
62,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48123540,서울 강남구,(주)에이엠매니지먼트,AM Management Backend 개발자 채용,경력 3~5년,면접 후 결정,학력무관,,"IT개발·데이터,백엔드/서버개발,서울,강남구"
63,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47937491,서울 서초구,매드업,[광고사업부] 데이터 분석가 채용,경력 3년 ↑,면접 후 결정,대졸(4년제) 이상,,"IT개발·데이터,데이터분석가,AI(인공지능),딥러닝,머신러닝,서울,서초구"
64,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48109339,서울 강남구,(주)피트릭스,[현대자동차 사내벤처 피트릭스] AI Engineer,경력 5~8년,면접 후 결정,석사졸업 이상,,"IT개발·데이터,머신러닝,딥러닝,모델링,빅데이터,서울,강남구"
