,Location,Company,Title,Career,Edu,URL,InfoDetails,Tag,D_Day
292,서울 강남구 외,(주)알로카도스,시니어 클라우드 엔지니어,경력 3~15년,학력무관(예정자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47683655,,"IT개발·데이터,기술지원,SE(시스템엔지니어),딥러닝,머신러닝,빅데이터,빌링,펌웨어,AI(인공지능),API,SDK,C++,C언어,Linux,OpenCV,Python,Pytorch,RestAPI,Tensorflow,VisualC·C++,연구·R&D,AI(인공지능),서울,강서구,경기,김포시,파주시",상시채용
293,서울 강남구 외,(주)빗썸코리아,[빗썸] SRE엔지니어,경력 1~10년,학력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=46969579,,"IT개발·데이터,기술지원,SE(시스템엔지니어),딥러닝,머신러닝,빅데이터,빌링,펌웨어,AI(인공지능),API,SDK,C++,C언어,Linux,OpenCV,Python,Pytorch,RestAPI,Tensorflow,VisualC·C++,연구·R&D,AI(인공지능),서울,강서구,경기,김포시,파주시",상시채용
294,서울 서초구 외,(주)아이티엘,엔터프라이즈 웹서비스 개발자(병역특례_보충역 지원 가능),경력 3~10년,학력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47433565,,"IT개발·데이터,DBMS,RDBMS,MySQL,데이터분석가,데이터엔지니어,데이터시각화,딥러닝,머신러닝,데이터마이닝,빅데이터,챗봇,Python,R,서울,성동구",상시채용
295,서울 강남구 외,(주)빗썸코리아,[빗썸] 블록체인 서비스 개발,경력 1~10년,학력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=46773648,,"IT개발·데이터,앱개발,웹개발,퍼블리셔,프론트엔드,웹표준·웹접근성,API,APM,Javascript,PHP,Python,백엔드/서버개발,MySQL,SI개발,검색엔진,딥러닝,머신러닝,반응형웹,빅데이터,솔루션,크롤링,스크립트,풀스택,Node.js,React,React-Native,Vue.js,ReactJS,RestAPI,TypeScript,Webpack,서울,양천구",상시채용
296,서울 강남구 외,넛지헬스케어(주),[병역특례] 데이터분석 담당 산업기능요원 모집,신입·경력 1년 ↓,학력무관(예정자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=46584359,,"IT개발·데이터,DBMS,RDBMS,MySQL,데이터분석가,데이터엔지니어,데이터시각화,딥러닝,머신러닝,데이터마이닝,빅데이터,챗봇,Python,R,서울,성동구",상시채용
297,서울 강남구 외,넛지헬스케어(주),[캐시워크] 데이터분석 담당 (석사/박사),신입·경력 10년 ↓,석사졸업 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45591062,,"IT개발·데이터,DBMS,RDBMS,MySQL,데이터분석가,데이터엔지니어,데이터시각화,딥러닝,머신러닝,데이터마이닝,빅데이터,챗봇,Python,R,서울,성동구",상시채용
298,서울 강남구 외,(주)모빌린트,[전문연구요원 가능] Deep Learning Research Engineer,신입·경력 20년 ↓,석사졸업 이상(예정자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45393244,,"연구·R&D,연구원,자율주행,AI(인공지능),이미지프로세싱,IT개발·데이터,Linux,C++,자율주행,AI(인공지능),딥러닝,머신러닝,빅데이터,영상처리,이미지프로세싱,컴퓨터비전,Python,Pytorch,Tensorflow,detection,세그멘테이션,C언어,서울,서초구",상시채용
299,서울 강남구 외,(주)모빌린트,[전문연구요원 가능] Deep Learning Optimization Engineer,신입·경력 20년 ↓,석사졸업 이상(예정자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45393196,,"IT개발·데이터,DBMS,RDBMS,MySQL,데이터분석가,데이터엔지니어,데이터시각화,딥러닝,머신러닝,데이터마이닝,빅데이터,챗봇,Python,R,서울,성동구",상시채용
300,서울 강남구 외,(주)메디픽셀,Research Scientist,경력 3~10년,석사졸업 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45077136,,"IT개발·데이터,DBMS,RDBMS,MySQL,데이터분석가,데이터엔지니어,데이터시각화,딥러닝,머신러닝,데이터마이닝,빅데이터,챗봇,Python,R,서울,성동구",상시채용
301,서울 강남구 외,(주)모빌린트,[전문연구요원 가능] NPU Compiler Engineer,신입·경력 20년 ↓,석사졸업 이상(예정자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=43308590,,"IT개발·데이터,빅데이터,크롤링,데이터분석가,Pandas,머신러닝,기획·전략,데이터분석,사업기획,서울,강남구",상시채용
302,서울 강남구 외,(주)빗썸코리아,[빗썸] Back End - 거래소 서비스 개발 (3년 이상),경력 3~7년,학력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45924286,,"IT개발·데이터,웹개발,Java,데이터엔지니어,데이터분석가,백엔드/서버개발,딥러닝,머신러닝,데이터시각화,빅데이터,정보통신,AI(인공지능),Git,Python,Linux,SQL,Spring,서울,강남구",상시채용
303,서울 강남구 외,(주)빗썸코리아,[빗썸] Back End - 거래소 서비스 개발 (7년 이상),경력 7~15년,학력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45719147,,"IT개발·데이터,웹개발,Java,데이터엔지니어,데이터분석가,백엔드/서버개발,딥러닝,머신러닝,데이터시각화,빅데이터,정보통신,AI(인공지능),Git,Python,Linux,SQL,Spring,서울,강남구",상시채용
304,서울 서초구 외,(주)파인디지털,[AI 기술 개발] 부문 신입/경력 채용 (전문연구요원 채용 가능),신입·경력 1~8년,석사졸업 이상(예정자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48243890,,"IT개발·데이터,머신러닝,딥러닝,펌웨어,C++,C언어,백엔드/서버개발,임베디드,임베디드리눅스,S/W,AI(인공지능),클라우드,영상처리,알고리즘,Python,OpenCV,연구·R&D,알고리즘개발,서울,강남구,광진구,서초구,송파구,경기,성남시,성남시 분당구,수원시,용인시",시작일2024.05.22 08:00마감일2024.05.29 08:00
305,서울 강남구 외,(주)메이머스트,[메이머스트] 클라우드 보안사업부 기술영업 채용 공고,신입,"대졸(2,3년제) 이상(예정자 가능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48156354,,"영업·판매·무역,영업,기술영업,영업직,솔루션기술영업,시스템영업,IT개발·데이터,솔루션,인프라,네트워크,정보보안,방화벽,VPN,클라우드,서울,강남구,경기,하남시",시작일2024.05.09 08:00마감일2024.06.08 23:59
306,서울 금천구 외,(주)메이크,지원 사업 컨설팅 및 3D CAD API Software 개발 엔지니어 모집,신입·경력(년수무관),"대졸(2,3년제) 이상",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48108938,,"IT개발·데이터,기술지원,모델링,웹개발,JSP,Java,백엔드/서버개발,연구·R&D,R&D기획,기술연구,교육,기업교육,디자인,교수설계,서울,금천구,경기,광명시,안양시 만안구",시작일2024.05.01 14:00마감일2024.05.31 23:59
307,서울 송파구 외,(주)플레이투큐어,Unity 경력 개발자 채용,경력 5년 ↑,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48033664,,"IT개발·데이터,게임개발,Unity,서울,송파구,경기,성남시,성남시 분당구,성남시 수정구,성남시 중원구",시작일2024.04.19 13:00마감일2024.06.18 23:59
308,서울 강남구 외,(주)메이크인,[판교/정자/10시-19시] 네이버 웹툰 전산운영관리,신입·경력(년수무관),"대졸(2,3년제) 이상(예정자 가능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48098229,,"IT개발·데이터,기술지원,정보보안,보안컨설팅,유지보수,ICT컨설팅,IT컨설팅,SE(시스템엔지니어),네트워크,머신러닝,모델링,방화벽,모의해킹,블록체인,빅데이터,솔루션,악성코드,신경망,알고리즘,아키텍쳐,인프라,정보통신,취약점진단,컴퓨터비전,AI(인공지능),S/W,H/W,보안관제,SaaS,MacOS,Windows,서울,강남구,관악구,송파구,경기,성남시,성남시 분당구,성남시 수정구,성남시 중원구",상시채용
309,서울 서초구 외,(주)파인디지털,[클라우드 SW 개발] 부문 신입/경력 채용 (전문연구요원 가능),신입·경력 1~8년,대졸(4년제) 이상(예정자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48243882,,"IT개발·데이터,머신러닝,딥러닝,펌웨어,C++,C언어,Java,Javascript,Flutter,백엔드/서버개발,임베디드,임베디드리눅스,프론트엔드,S/W,AI(인공지능),클라우드,AWS,SaaS,영상처리,서울,강남구,광진구,서초구,송파구,경기,성남시,성남시 분당구,수원시,용인시",시작일2024.05.22 08:00마감일2024.05.29 08:00
310,서울 강남구 외,(주)비전인스,"R&D / 비전, 제어 개발팀(C# / C++)  외 신입 & 경력 채용 공고",신입·경력 1년 ↑,학력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48010762,,"IT개발·데이터,SI개발,VisualC·C++,OpenCV,C,,C++,영상처리,머신러닝,인터페이스,솔루션,알고리즘,정보통신,딥러닝,C언어,MFC,Python,서울,강남구,경기,화성시",시작일2024.04.16 16:00마감일2024.06.15 23:59
311,서울 구로구 외,(주)프리핀스,렌탈사 대상 금융상품 기획 및 운영관리,경력 7~15년,"대졸(2,3년제) 이상",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48171996,,"기획·전략,기획,상품기획,서비스기획,전략기획,IT개발·데이터,머신러닝,ERP,S/W,SAS,SQL,서울,구로구,금천구,영등포구",시작일2024.05.10 00:00마감일2024.06.08 23:59
312,서울 강남구 외,(주)윈텍오토메이션,물리학 응용 비전 광학개발 신입/경력(전문연구요원 가능),무관(신입포함),대졸(4년제) 이상(예정자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48110585,,"IT개발·데이터,S/W,C,,C++,C언어,Java,알고리즘,딥러닝,Tensorflow,AI(인공지능),빅데이터,머신러닝,영상처리,OpenCV,VisualC·C++,VB.NET,Python,이미지프로세싱,인터페이스,컴퓨터비전,연구·R&D,알고리즘개발,R&D,연구원,이미지프로세싱,AI(인공지능),광학설계,서울,강남구,송파구,영등포구,용산구,경기,수원시,수원시 영통구,용인시,화성시",시작일2024.05.02 08:00마감일2024.06.01 23:59
313,서울 구로구 외,(주)디엔에이링크,생물정보분석(Bioinformatics) 직원 채용(신입/경력),신입·경력 3~5년,대졸(4년제) 이상(예정자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48083532,,"IT개발·데이터,데이터분석가,데이터엔지니어,머신러닝,알고리즘,Linux,Perl,Python,R,연구·R&D,미생물,분자진단,생명과학,시료분석,알고리즘개발,유전자,제약/바이오,서울,강서구,구로구,영등포구",시작일2024.04.26 00:00마감일2024.05.25 23:59
314,서울 강남구,코리아써치,AICC 솔루션(AI 관련 경력) PM/PL 경력자,경력 5년 ↑,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48260765,,"IT개발·데이터,SI개발,딥러닝,머신러닝,챗봇,AI(인공지능),NLU(자연어이해),NLP(자연어처리),C++,Java,Python,서울,강남구",시작일2024.05.24 08:00마감일2024.06.23 23:59
