,Location,Company,Title,Career,URL
207,서울 강남구,휴멜로,[생성형 인공지능] Generative AI Engineer,경력 2-6년,https://www.wanted.co.kr/wd/215282
208,서울 강남구,알티엠,Junior Data Scientist (다변량 시계열),경력 1-3년,https://www.wanted.co.kr/wd/203738
209,서울 강남구,하나금융티아이,[하나금융융합기술원] Data Scientist,경력 5-15년,https://www.wanted.co.kr/wd/145246
210,서울 강남구,강남언니(힐링페이퍼),데이터 엔지니어,경력 3-9년,https://www.wanted.co.kr/wd/195243
211,서울 강남구,데이블(Dable),"Machine Learning Engineer(전문연 현역/보충역, 산기능 보충역)",신입,https://www.wanted.co.kr/wd/214967
212,서울 강남구,하이퍼커넥트,Machine Learning Engineer,신입-경력 20년,https://www.wanted.co.kr/wd/197383
213,서울 강남구,딥브레인에이아이,[400억↑투자] 딥러닝 연구원 / 엔지니어 (전문연구요원 가능),신입,https://www.wanted.co.kr/wd/19529
214,서울 강남구,엘리스,AI 엔지니어,신입-경력 10년,https://www.wanted.co.kr/wd/198065
215,서울 강남구,딥브레인에이아이,[400억↑투자] 산업기능요원,신입,https://www.wanted.co.kr/wd/216825
216,서울 강남구,클럼엘,신입 Software Engineer (Data),신입,https://www.wanted.co.kr/wd/212131
217,서울 강남구,아하앤컴퍼니,아하팀 AI 엔지니어,경력 1-5년,https://www.wanted.co.kr/wd/172348
218,서울 서초구,아이트럭,ML 머신러닝 신입~초급,경력 1-3년,https://www.wanted.co.kr/wd/180338
